date,month,price_nominal,volume,price_real_lag1,price_real_lag2,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,target_price_real
2023-11-01,11,5.68755,158668942.01,1.212424142116297,1.2186534627434655,False,False,False,False,False,False,False,False,False,True,False,1.2523781212841856
2023-12-01,12,6.1647,395830882.71,1.2523781212841856,1.212424142116297,False,False,False,False,False,False,False,False,False,False,True,1.3257989590950148
2024-01-01,1,6.3195,179602539.17,1.3257989590950148,1.2523781212841856,False,False,False,False,False,False,False,False,False,False,False,1.3217946036394057
2024-02-01,2,6.7078,270209949.96999997,1.3217946036394057,1.3257989590950148,True,False,False,False,False,False,False,False,False,False,False,1.3411308381317977
2024-03-01,3,6.8383,260733260.75,1.3411308381317977,1.3217946036394057,False,True,False,False,False,False,False,False,False,False,False,1.305666933974873
2024-04-01,4,7.5479,102237913.24,1.305666933974873,1.3411308381317977,False,False,True,False,False,False,False,False,False,False,False,1.325215956176698
2024-05-01,5,7.862500000000001,145654317.04,1.325215956176698,1.305666933974873,False,False,False,True,False,False,False,False,False,False,False,1.3365234242197594
2024-06-01,6,7.8798,69417655.3,1.3365234242197594,1.325215956176698,False,False,False,False,True,False,False,False,False,False,False,1.2765978128797084
2024-07-01,7,7.9162,80820357.87,1.2765978128797084,1.3365234242197594,False,False,False,False,False,True,False,False,False,False,False,1.2760038040587374
2024-08-01,8,7.9022,170107527.64,1.2760038040587374,1.2765978128797084,False,False,False,False,False,False,True,False,False,False,False,1.253461922814587
2024-09-01,9,8.9714,401150896.98,1.253461922814587,1.2760038040587374,False,False,False,False,False,False,False,True,False,False,False,1.3497728161766918
2024-10-01,10,8.998149999999999,440186667.85,1.3497728161766918,1.253461922814587,False,False,False,False,False,False,False,False,True,False,False,1.323685604166054
2024-11-01,11,8.4017,377132009.07,1.323685604166054,1.3497728161766918,False,False,False,False,False,False,False,False,False,True,False,1.2614596940077776
2024-12-01,12,8.2637,467020993.04,1.2614596940077776,1.323685604166054,False,False,False,False,False,False,False,False,False,False,True,1.2490288840857908
2025-01-01,1,8.8474,326968233.87,1.2490288840857908,1.2614596940077776,False,False,False,False,False,False,False,False,False,False,False,1.2928746785129763
2025-02-01,2,9.40025,416622831.42,1.2928746785129763,1.2490288840857908,True,False,False,False,False,False,False,False,False,False,False,1.3222655151071852
2025-03-01,3,10.14415,588228157.62,1.3222655151071852,1.2928746785129763,False,True,False,False,False,False,False,False,False,False,False,1.3516162127591538
2025-04-01,4,10.84545,572686033.95,1.3516162127591538,1.3222655151071852,False,False,True,False,False,False,False,False,False,False,False,1.3570722490552818
2025-05-01,5,11.1659,374515106.66,1.3570722490552818,1.3516162127591538,False,False,False,True,False,False,False,False,False,False,False,1.387206181980818
2025-06-01,6,11.5848,259048344.4,1.387206181980818,1.3570722490552818,False,False,False,False,True,False,False,False,False,False,False,1.3713879846108314
2025-07-01,7,11.2859,234162513.25,1.3713879846108314,1.387206181980818,False,False,False,False,False,True,False,False,False,False,False,1.331371138033951
2025-08-01,8,11.1415,160309353.45,1.331371138033951,1.3713879846108314,False,False,False,False,False,False,True,False,False,False,False,1.284456024256119
2025-09-01,9,11.4117,301990302.08,1.284456024256119,1.331371138033951,False,False,False,False,False,False,False,True,False,False,False,1.286492153679654
2025-10-01,10,11.37055,198370332.54,1.286492153679654,1.284456024256119,False,False,False,False,False,False,False,False,True,False,False,1.2875138709604368
2025-11-01,11,10.9786,152987437.81,1.2875138709604368,1.286492153679654,False,False,False,False,False,False,False,False,False,True,False,1.243132459179745
