year,harvest_area_ha,plant_area_ha,production_mass_t,t2m_min_1,t2m_min_2,t2m_min_3,t2m_min_4,t2m_min_5,t2m_min_6,t2m_min_7,t2m_min_8,t2m_min_9,t2m_min_10,t2m_min_11,t2m_min_12,t2m_max_1,t2m_max_2,t2m_max_3,t2m_max_4,t2m_max_5,t2m_max_6,t2m_max_7,t2m_max_8,t2m_max_9,t2m_max_10,t2m_max_11,t2m_max_12,t2m_mean_1,t2m_mean_2,t2m_mean_3,t2m_mean_4,t2m_mean_5,t2m_mean_6,t2m_mean_7,t2m_mean_8,t2m_mean_9,t2m_mean_10,t2m_mean_11,t2m_mean_12,precip_mm_1,precip_mm_2,precip_mm_3,precip_mm_4,precip_mm_5,precip_mm_6,precip_mm_7,precip_mm_8,precip_mm_9,precip_mm_10,precip_mm_11,precip_mm_12,heatwave_35_1,heatwave_35_2,heatwave_35_3,heatwave_35_4,heatwave_35_5,heatwave_35_6,heatwave_35_7,heatwave_35_8,heatwave_35_9,heatwave_35_10,heatwave_35_11,heatwave_35_12,heatwave_30_1,heatwave_30_2,heatwave_30_3,heatwave_30_4,heatwave_30_5,heatwave_30_6,heatwave_30_7,heatwave_30_8,heatwave_30_9,heatwave_30_10,heatwave_30_11,heatwave_30_12,frost_1,frost_2,frost_3,frost_4,frost_5,frost_6,frost_7,frost_8,frost_9,frost_10,frost_11,frost_12,heavy_rain_1,heavy_rain_2,heavy_rain_3,heavy_rain_4,heavy_rain_5,heavy_rain_6,heavy_rain_7,heavy_rain_8,heavy_rain_9,heavy_rain_10,heavy_rain_11,heavy_rain_12,dry_spell_max_1,dry_spell_max_2,dry_spell_max_3,dry_spell_max_4,dry_spell_max_5,dry_spell_max_6,dry_spell_max_7,dry_spell_max_8,dry_spell_max_9,dry_spell_max_10,dry_spell_max_11,dry_spell_max_12,flood_risk_1,flood_risk_2,flood_risk_3,flood_risk_4,flood_risk_5,flood_risk_6,flood_risk_7,flood_risk_8,flood_risk_9,flood_risk_10,flood_risk_11,flood_risk_12,target_yield_t_ha
2014,232276.1,240377.7,650101.0,0.1961847132419354,0.48639353725,2.861178483548387,6.847699996666666,10.305828470967745,14.158678183333333,19.057778612903228,19.77253764516129,14.825823916666668,8.884877874193547,3.217620828043333,2.6403385237096773,8.079480616129032,9.741068171428571,11.877994651612902,16.961006766666667,19.934403935483868,24.004806533333333,29.64998993548387,30.248548870967745,23.3516164,17.701323548387098,10.92107638,9.350584948387096,2.9236725883870966,3.8421772605,6.650121912903225,11.569768219999998,15.119989112903223,19.079608133333338,24.291026451612904,24.66177077419355,18.506984466666665,12.51462870967742,6.064309631466667,4.936704566774194,38.1831910610199,21.214877605438232,29.08756649494171,17.87812042236328,50.24714279174805,30.079721450805664,6.855250597000122,0.0,20.535308837890625,53.06411361694336,52.325544357299805,27.229939222335815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,14,19,0,0,0,0,15,9,6,0,0,0,0,0,0,0,5,7,0,0,0,0,1,0,0,0,0,0,1,0,10,18,8,13,13,20,21,31,23,16,13,9,0,0,0,0,0,0,0,0,0,1,1,0,2.8000000000000003
2015,241645.4,241645.4,853627.0,-2.5695042719354837,-1.1295427514285714,2.4018889161290327,3.536403398,10.84985152903226,13.336792016666667,18.004002741935484,19.382476741935484,17.2468282,11.221089116129033,4.995179230000001,-1.5385978451935485,4.522675537419355,5.212369619285715,10.344528651612904,13.211634226666666,20.85132035483871,22.144781466666664,28.620759870967746,29.19651451612903,27.775227933333333,19.403863725806453,14.111012776666666,6.450906058064516,0.1818581770967742,1.2665492346428573,5.63011617516129,8.010638436666666,15.788700161290322,17.694448833333336,23.188473677419353,23.95486064516129,21.93698423333333,14.506400709677418,8.271887153333333,1.1275713543225807,31.473984003067017,35.88591551780701,37.15981134772301,18.409356594085693,44.41497421264648,48.229387283325195,6.01374077796936,0.0,9.179608583450316,46.84496784210205,8.396387338638306,5.596284866333008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,16,10,0,0,0,22,14,6,5,0,0,0,0,0,0,0,26,0,0,0,0,1,1,0,0,0,1,0,0,9,7,8,18,18,23,24,31,28,11,16,29,0,0,0,0,0,1,0,0,0,1,0,0,3.53
2016,271421.8,276641.8,734012.0,-2.715739628064516,1.9750713372413793,3.052058040645161,8.829724093333335,10.284475064516128,16.17198695,19.380554193548388,19.82879625806451,14.335993416666666,10.36910816451613,3.4121276843333335,-3.795564714,3.83056345,10.994170094482758,12.383108812903226,19.577455683333337,19.55155806451613,26.47305503333333,29.89603648387097,30.188085774193546,23.96366983333333,20.51554422580645,12.97625232,2.2176760198032257,-0.1286276480645162,5.352589577241379,6.9999823,13.909407516666668,14.83240735483871,21.32750855,24.556554967741935,24.618451548387096,18.59527695,14.538900096774192,6.952222663333333,-1.4974384861290324,31.794527173042297,19.14088201522827,21.34581208229065,20.393919229507446,51.26828098297119,18.79647445678711,6.190177917480469,0.0,18.058958053588867,8.305946350097656,19.45330572128296,83.19200325012207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,13,18,0,0,0,0,20,9,3,0,0,0,0,0,0,0,3,28,0,0,0,0,1,0,0,0,0,0,0,1,13,9,8,8,13,22,25,31,19,17,19,10,0,0,0,0,0,0,0,0,0,0,0,1,2.7
2017,242241.6,242241.6,795535.0,-5.760019623225807,-3.0258440299999996,2.109555142903226,5.413160203333334,10.255268561290324,14.875679516666668,19.37336970967742,18.98122187096774,16.719686833333334,8.892231577419356,3.3756398523333333,1.6115456967741937,0.0497485681612903,5.314147917500001,10.686190683870969,15.206796333333331,19.468797322580645,24.935013766666668,30.59007335483871,28.737439516129033,27.973159766666665,18.041769709677418,11.826338673333334,9.5906146,-3.3330698196774193,0.1887795378571428,5.693634994193549,10.06294756,14.810332354838708,19.997458,24.89817083870968,23.428521967741936,21.730753633333332,12.547770822580643,6.48630166,4.464553355806451,26.776745319366455,8.39932644367218,36.26862144470215,34.84231472015381,56.22084188461304,30.56092643737793,0.0,6.4136962890625,7.299980640411377,29.559487342834473,44.621718406677246,21.434558391571045,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,19,9,14,0,0,0,29,22,6,0,0,0,0,0,0,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,13,18,7,7,7,25,31,21,28,15,13,15,0,0,0,0,0,0,0,1,0,0,0,0,3.28
2018,272564.0,274480.6,856917.0,-1.1270102273225806,2.3679210166071427,5.015718518064516,8.51790666,12.35675343548387,15.291311733333334,18.96970106451613,18.950014193548387,15.668534483333334,9.884777351612904,4.884399396999999,0.3635273628387097,5.860684308064516,10.578383285714285,14.60355012903226,19.227727133333335,21.892636258064517,25.0847952,29.23588116129032,29.346216,25.6160329,19.56189848387097,12.764646363333334,6.276223440322581,1.472758622903226,5.305569271428571,9.062121954838709,13.605069956666666,17.12250935483871,20.2254272,23.996476774193543,23.838825870967742,20.0812358,13.89339035483871,7.75765485,2.6253642387096776,37.21510136127472,18.721231043338776,33.7052503824234,15.120322704315186,66.09183204174042,49.70255517959595,7.089885711669922,1.228896141052246,12.31873607635498,32.23216199874878,29.5174241065979,61.88523230570718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,4,0,0,0,18,4,1,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,9,7,7,13,7,12,28,15,28,8,16,4,0,0,0,0,1,1,0,0,0,0,0,1,3.14
2019,305319.8,305319.8,1006617.0,-2.4695385379354837,0.3098318932142857,1.669093954935484,4.419747923333333,11.617627612903226,15.804323216666669,16.990722532258065,18.348838548387096,15.033331233333334,11.759819661290324,6.384069846666666,1.3856467032032258,3.4381438138709677,7.617546046428572,10.519803941935484,13.437158143333331,22.28747467741935,25.2180969,27.395933129032255,28.140189903225806,25.206611066666667,21.407729645161293,15.536170450000002,7.654049764516128,-0.0787058049999999,2.988516678571429,5.406419319354838,8.676848286666665,16.92825114516129,20.457086166666667,22.147754258064516,22.88577651612903,19.551264433333333,15.681511758064516,9.71138,3.590922688703226,57.350433349609375,29.819895386695865,20.000036478042603,37.24910315871239,32.832844257354736,46.56201958656311,9.92908763885498,0.0,9.494882106781006,13.570995807647703,24.25311506966318,55.97982168197632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,0,0,0,0,23,11,8,2,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,4,10,7,5,15,11,25,31,24,16,10,10,1,0,0,0,0,1,1,0,0,0,0,0,3.3000000000000003
2020,315443.8,315443.8,1027276.0,-2.375263820322581,-0.784007124413793,2.4879396461290324,5.8191152299999995,10.68553801935484,13.982187866666669,19.25139412903226,18.714006032258062,17.7951833,12.86784306451613,3.878812669,2.032240348064516,3.434239540806451,6.142953786206896,11.139739045161289,15.033620066666666,21.24482087096774,24.51660456666667,30.38771206451613,29.444893225806453,28.188665633333336,22.957922258064517,11.71987102,9.564005148387096,-0.2659587297096774,2.011143131034483,6.139154265967742,10.142641236666666,15.927352483870967,19.425464,24.703892741935487,23.802834870967743,22.3798757,16.945744741935485,6.70842994,4.588717526774193,34.78098440170288,35.630874276161194,21.112586975097656,25.41547703742981,43.13020062446594,21.812766925072992,2.9445481300354004,0.0,9.125724792480469,15.686776333357557,14.936634063720703,23.90344870090485,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,20,11,6,0,0,0,28,15,7,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,20,8,15,9,17,15,15,31,23,10,12,10,0,0,0,0,0,0,0,0,0,0,0,0,3.26
2021,328533.6,334017.0,768266.0,-0.2892574174193548,-0.7715181782142857,0.2533165741935483,6.370041935333333,12.74080040967742,13.74576725,18.908717903225806,18.567181,13.985988383333334,8.929765332258064,5.846105945333333,-0.1806109132258065,7.625428264516129,8.240665984107142,9.08809436451613,16.30476578,23.88103451612903,23.2822581,29.310344096774195,29.296515645161293,23.20433543333333,18.737980951612904,14.34096075,6.450678654838709,2.7497726231612902,2.651457675,4.0037733451612905,10.968782517666666,18.203886951612905,18.56576738333333,23.97013609677419,23.67387041935484,17.9835328,12.90534237096774,8.934531613333332,2.2077341558064516,33.16277360916138,12.644695043563845,28.01063323020935,27.06882154941559,21.550766944885257,21.992220401763916,12.852246522903442,0.0,12.302763938903809,7.23584771156311,24.781416416168213,59.173319578170776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,13,0,0,0,0,13,11,14,3,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,6,12,8,9,18,14,12,31,19,20,20,10,0,0,0,0,0,0,1,0,0,0,0,1,2.34
2022,333107.8,336040.7,1055270.0,-4.3124468190322585,-1.498286644642857,-3.4066693841935485,7.292616786333332,9.992763393548389,14.86536455,17.037954951612907,19.59412412903226,15.15960085,10.04051649032258,5.424888086666667,2.2085620609677417,1.9505703806451613,5.373202751785714,3.974093529177419,18.10943195,19.7318195,24.1969594,28.02484522580645,29.925644387096774,26.017935233333333,18.360468758064513,13.91224165,10.007063448387097,-1.8924314529032256,1.1762629931607145,-0.201244709032258,12.3810182,14.85414570967742,19.483508233333335,22.33499535483871,24.359157419354837,19.923334800000003,13.3010785,8.503368126666667,4.952340389354839,43.73486888408661,31.94010305404663,35.950722217559814,21.882112741470337,30.9583044052124,24.82660906203091,6.308077812194824,0.0,11.323387190715948,18.052072525024418,20.783331871032715,15.428007602691652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,5,0,0,0,23,17,24,1,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,0,0,9,19,12,11,27,10,17,31,20,14,19,17,0,0,0,0,0,0,0,0,0,0,0,0,3.17
2023,330263.1,331163.1,1150516.0,-0.4448685129032257,-4.744331306357142,3.3216454377419353,5.365319825,9.807625116129032,14.031731166666669,18.681805935483872,21.47232451612903,15.9049479,11.393009258064517,7.081203235,2.8164741870967744,8.00208805483871,4.053952866785714,11.394987045161292,14.477561516666666,18.864259741935484,22.842773333333337,29.418957193548387,32.45151758064516,25.847344,20.99035141935484,15.22757859,10.865937261290322,2.4421061738709677,-1.3395026321428571,6.693917529032258,9.51904406,14.264611096774194,18.421342,23.941235,26.61408551612903,20.2088012,15.23827729032258,10.171378616666669,5.6750684935483875,11.985706448554993,18.08479166030884,33.25599122047424,38.227111756801605,61.776641607284546,52.376227378845215,6.736753463745117,0.0,9.615131378173828,16.080381393432617,50.87139189243317,28.269330143928528,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,12,28,0,0,0,0,19,22,3,1,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,14,21,9,13,6,18,15,31,18,24,6,9,0,0,0,0,1,1,0,0,0,0,1,0,3.48
2024,297563.3,343136.2,852876.0,0.8604175348387096,1.6618505031034485,2.9976885722580646,9.97168784,10.708624090322582,19.032337433333335,19.874335548387094,19.91663774193548,15.882097333333332,9.549663893548386,3.60859479,1.6524078356666665,6.980065174193549,9.747560710344828,12.461860964516127,20.1812032,19.625753064516132,29.967765333333332,29.553795612903222,30.01655432258065,24.9751688,19.489598483870967,11.424863595333331,8.122817913333334,3.1565630403225806,4.637762657586206,7.042890038709678,14.742060293333331,15.01524512903226,24.471842433333332,24.58873141935484,24.598789322580643,19.839455133333335,13.560251561290324,6.517217044000001,3.966220090833333,32.36918479204178,16.611911296844482,17.78471577167511,22.535857024492827,53.58603736758232,12.75831352372188,17.72868537902832,4.5066835060715675,21.043177604675293,8.1034974680515,34.766053199768066,48.990960121154785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,11,17,0,0,0,0,13,5,5,0,0,0,0,0,0,0,7,6,0,0,0,0,1,0,0,0,0,0,0,0,6,15,24,10,8,15,15,21,12,29,10,5,0,0,0,0,0,0,1,1,0,0,0,0,2.87
