date,crop,price_nominal,price_real
2015-08-01,Maize (corn),656.0,749.3717157870688
2015-08-01,Wheat,767.0,893.8352173406363
2015-09-01,Barley,626.0,665.1790457974711
2015-09-01,Maize (corn),663.0,757.3680603152844
2015-09-01,Wheat,779.0,907.819601445053
2015-10-01,Barley,625.0,664.1164594623314
2015-10-01,Maize (corn),669.0,764.2220699108979
2015-10-01,Wheat,782.0,911.3156974711571
2015-11-01,Barley,634.0,673.679736478589
2015-11-01,Maize (corn),643.0,734.5213616632396
2015-11-01,Wheat,783.0,912.4810628131919
2015-12-01,Barley,636.0,675.8049091488684
2015-12-01,Maize (corn),629.0,718.5286726068083
2015-12-01,Wheat,778.0,906.6542361030183
2016-01-01,Barley,646.0,686.4307725002657
2016-01-01,Maize (corn),631.0,720.8133424720128
2016-01-01,Wheat,776.0,904.3235054189488
2016-02-01,Barley,656.0,697.056635851663
2016-02-01,Maize (corn),655.0,748.2293808544665
2016-02-01,Wheat,789.0,919.4732548654002
2016-03-01,Barley,655.0,695.9940495165233
2016-03-01,Maize (corn),660.0,753.9410555174777
2016-03-01,Wheat,794.0,925.3000815755739
2016-04-01,Barley,659.0,700.2443948570822
2016-04-01,Maize (corn),655.0,748.2293808544665
2016-04-01,Wheat,784.0,913.6464281552267
2016-05-01,Barley,658.0,699.1818085219425
2016-05-01,Maize (corn),650.0,742.5177061914553
2016-05-01,Wheat,794.0,925.3000815755739
2016-06-01,Barley,676.0,718.3083625544576
2016-06-01,Maize (corn),663.0,757.3680603152844
2016-06-01,Wheat,807.0,940.4498310220254
2016-07-01,Barley,692.0,735.3097439166933
2016-07-01,Maize (corn),674.0,769.933744573909
2016-07-01,Wheat,807.0,940.4498310220254
2016-08-01,Barley,696.0,739.5600892572522
2016-08-01,Maize (corn),672.0,767.6490747087046
2016-08-01,Wheat,793.0,924.1347162335392
2016-09-01,Barley,698.0,741.6852619275317
2016-09-01,Maize (corn),670.0,765.3644048435001
2016-09-01,Wheat,833.0,970.7493299149284
2016-10-01,Barley,699.0,742.7478482626714
2016-10-01,Maize (corn),675.0,771.0760795065113
2016-10-01,Wheat,813.0,947.4420230742337
2016-11-01,Barley,704.0,748.06077993837
2016-11-01,Maize (corn),676.0,772.2184144391135
2016-11-01,Wheat,816.0,950.938119100338
2016-12-01,Barley,711.0,755.4988842843482
2016-12-01,Maize (corn),681.0,777.9300891021247
2016-12-01,Wheat,826.0,962.5917725206853
2018-01-01,Barley,836.0,888.3221761768144
2018-01-01,Maize (corn),756.0,863.6052090472926
2018-01-01,Wheat,915.0,1066.309287961776
2018-02-01,Barley,828.0,879.8214854956966
