date,t2m_min,t2m_max,t2m_mean,precipitation
2004-07-17,13.674866,21.303345,17.109009,2.7652158737182617
2004-07-18,13.250458,23.356995,17.891907,0.0
2004-07-19,13.03714,24.55127,18.540894,0.0
2004-07-20,14.1553955,25.271515,19.450958,0.0
2004-07-21,15.218262,25.861786,20.26236,0.0
2004-07-22,15.358582,25.973633,20.173737,0.0
2004-07-23,15.121674,26.604828,20.794525,0.0
2004-07-24,16.118164,27.481537,21.837067,0.0
2004-07-25,17.726807,27.749634,22.807251,0.0
2004-07-26,17.76712,28.322845,23.20639,0.0
2004-07-27,18.074646,30.005249,24.12793,0.0
2004-07-28,18.618896,30.821777,24.883392,0.0
2004-07-29,20.001312,31.372742,25.718964,0.0
2004-07-30,20.012207,32.379883,26.075348,0.0
2004-07-31,19.30072,32.10556,25.511688,0.0
2004-08-01,19.614838,31.791168,25.192017,0.0
2004-08-02,17.941742,28.914215,23.024323,0.0
2004-08-03,18.742798,26.985626,22.200592,0.0
2004-08-04,18.190643,27.512024,22.552094,0.0
2004-08-05,18.65274,28.174652,23.314362,0.0
2004-08-06,18.868744,29.42871,24.089813,0.0
2004-08-07,19.61615,29.786102,24.451324,0.0
2004-08-08,19.546936,28.9617,24.171051,0.0
2004-08-09,19.5932,30.008728,24.624237,0.0
2004-08-10,19.982758,29.240723,24.214539,0.0
2004-08-11,18.920837,25.131348,21.566559,0.0
2004-08-12,16.707825,25.434326,20.402832,0.0
2004-08-13,15.924591,26.140259,20.846527,0.0
2004-08-14,16.621674,28.762817,22.721497,0.0
2004-08-15,17.24228,29.774414,23.564575,0.0
2004-08-16,17.91809,28.438477,22.536835,0.0
2004-08-17,17.214386,27.661316,21.700714,0.0
2004-08-18,17.144073,25.421112,20.910492,0.0
2004-08-19,16.150421,25.834442,20.516296,0.0
2004-08-20,15.875336,25.579498,20.302124,0.0
2004-08-21,16.3927,26.992462,21.52069,0.0
2004-08-22,17.819885,29.119324,23.317322,0.0
2004-08-23,18.15738,30.252258,24.174652,0.0
2004-08-24,17.638062,26.453735,21.187592,0.0
2004-08-25,16.007263,26.815277,20.799713,0.0
2004-08-26,16.558716,27.783478,21.862244,0.0
2004-08-27,17.204285,29.489044,23.220062,0.0
2004-08-28,17.588928,29.781372,23.37442,0.0
2004-08-29,16.472382,26.383972,20.833069,0.0
2004-08-30,16.46762,27.152008,21.443817,0.0
2004-08-31,17.136353,28.046997,22.282898,0.0
2004-09-01,17.83081,28.426239,22.751373,0.0
2004-09-02,18.078064,28.476807,22.772217,0.0
2004-09-03,18.06305,27.600403,22.139679,0.0
2004-09-04,16.510468,25.843353,20.535492,0.0
2004-09-05,15.467407,23.83081,18.909882,2.842148780822754
2004-09-06,13.983643,22.224945,17.189697,0.0
2004-09-07,11.519165,21.36322,15.605255,0.0
2004-09-08,12.492401,24.56894,18.175629,0.0
2004-09-09,14.782379,25.543518,19.347229,0.0
2004-09-10,12.314178,18.802063,14.435303,2.626861333847046
2004-09-11,9.131866,18.163605,12.784515,0.0
2004-09-12,8.37088,18.13675,12.469574,0.0
2004-09-13,8.176331,21.218964,14.116547,0.0
2004-09-14,10.638153,24.087067,16.83255,0.0
2004-09-15,12.389343,25.540375,18.293304,0.0
2004-09-16,13.273254,26.103119,19.120789,0.0
2004-09-17,14.12207,25.364563,19.022614,0.0
2004-09-18,13.326111,23.247192,17.339111,0.0
2004-09-19,12.2464905,24.681458,17.861847,0.0
2004-09-20,13.995117,26.727173,19.763458,0.0
2004-09-21,15.073639,27.286987,20.402435,0.0
2004-09-22,14.645142,26.642548,19.729889,0.0
2004-09-23,13.148743,24.329742,18.169495,0.0
2004-09-24,13.106323,24.898407,18.121796,0.0
2004-09-25,13.2872925,23.413605,17.568695,0.0
2004-09-26,13.320557,25.500977,19.098724,0.0
2004-09-27,15.503693,27.458588,20.834808,0.0
2004-09-28,16.384918,28.205841,21.35205,0.0
2004-09-29,16.239868,27.913574,21.097626,0.0
2004-09-30,15.721619,28.354614,21.216034,0.0
2004-10-01,16.405212,26.050873,20.194672,0.0
2004-10-02,13.416199,22.48822,17.092133,0.0
2004-10-03,12.465027,20.40509,15.460144,0.0
2004-10-04,10.500824,18.874573,13.781464,0.0
2004-10-05,9.359558,19.266602,13.531952,0.0
2004-10-06,8.986267,17.8479,12.717316,0.0
2004-10-07,10.3784485,16.785492,12.735077,0.0
2004-10-08,9.10321,16.751312,12.161407,0.0
2004-10-09,8.724609,16.917297,12.332184,0.0
2004-10-10,9.594086,18.981506,13.690826,0.0
2004-10-11,9.614532,21.205261,14.550201,0.0
2004-10-12,9.564667,22.324219,15.280029,0.0
2004-10-13,10.359985,17.884033,12.908173,0.0
2004-10-14,8.005463,19.722687,13.0277405,0.0
2004-10-15,10.347961,21.33725,15.13681,0.0
2004-10-16,12.0755005,21.562805,15.7969055,0.0
2004-10-17,11.812866,23.07309,16.266205,0.0
2004-10-18,11.885651,25.000061,17.24588,0.0
2004-10-19,12.414307,23.978943,16.915924,0.0
2004-10-20,12.07019,22.012512,16.113647,0.0
2004-10-21,11.70282,18.318481,13.830994,0.0
2004-10-22,8.655487,18.985382,12.893524,0.0
2004-10-23,9.293182,19.01361,13.059631,0.0
2004-10-24,8.793854,20.062164,13.587677,0.0
2004-10-25,9.882507,20.787659,14.189392,0.0
2004-10-26,10.1883545,21.794098,14.660919,0.0
2004-10-27,10.85849,23.043793,15.674591,0.0
2004-10-28,11.743744,22.291046,15.766785,14.715425491333008
2004-10-29,10.736145,18.847473,13.813507,0.0
2004-10-30,9.350616,18.875671,13.334869,0.0
2004-10-31,10.227112,19.48822,13.648682,0.0
2004-11-01,9.261749,19.162567,13.051086,0.0
2004-11-02,9.057404,19.78592,13.224182,0.0
2004-11-03,9.755737,19.129547,13.049408,0.0
2004-11-04,8.434509,15.2052,10.714813,0.0
2004-11-05,5.7911987,14.821136,8.989563,0.0
2004-11-06,6.3803406,16.59314,10.522369,0.0
2004-11-07,7.687561,16.595337,10.985535,0.0
2004-11-08,8.202423,15.113525,10.841003,0.0
2004-11-09,7.805664,15.56189,10.901093,0.0
2004-11-10,8.162415,14.218994,10.41272,0.0
2004-11-11,7.8937683,15.648285,10.831512,0.0
2004-11-12,8.116333,17.21457,11.419983,0.0
2004-11-13,7.6601562,17.307678,11.2482605,0.0
2004-11-14,6.7960815,18.678528,11.426849,0.0
2004-11-15,8.885376,16.374329,11.558258,10.81722640991211
2004-11-16,8.799561,14.494354,10.297668,0.0
2004-11-17,5.3074036,8.3341675,6.6653748,0.0
2004-11-18,3.0699158,8.188202,4.564911,0.0
2004-11-19,0.35177612,11.522705,4.561981,0.0
2004-11-20,4.0032043,10.775574,7.1737366,14.300310134887695
2004-11-21,-0.20605469,8.080811,3.9205933,7.111824035644531
2004-11-22,-5.4542847,-2.4284363,-4.0525513,0.0
2004-11-23,-7.0477295,-1.1186523,-4.9694214,0.0
2004-11-24,-6.573456,4.0630493,-1.9437561,0.0
2004-11-25,-0.27911377,3.8361511,1.7409973,14.223648071289062
2004-11-26,-6.1016235,-2.7086487,-4.41391,0.0
2004-11-27,-8.345886,-2.1957703,-6.022522,0.0
2004-11-28,-7.077667,2.6564941,-3.096344,0.0
2004-11-29,-4.430481,5.224823,-0.96762085,0.0
2004-11-30,-3.0797424,7.3168945,1.0264893,0.0
2004-12-01,-0.46200562,6.622223,2.8468933,0.0
2004-12-02,-0.43637085,7.974945,2.7214355,0.0
2004-12-03,-0.121154785,10.947144,3.9432678,0.0
2004-12-04,1.1635742,12.169159,4.963928,0.0
2004-12-05,2.619995,10.439362,5.6572876,0.0
2004-12-06,3.3352356,7.936859,4.7566833,0.0
2004-12-07,1.367157,8.469116,3.7789612,0.0
2004-12-08,-1.2917175,3.682373,0.4382019,0.0
2004-12-09,-2.9680786,6.422943,0.28692627,0.0
2004-12-10,-1.9725647,5.280884,0.3555298,0.0
2004-12-11,-2.0071716,3.55484,-0.12033081,0.0
2004-12-12,-3.8398743,3.0778503,-1.4959412,0.0
